,0,1,2
131,connected,the,0.1111111111111111
134,connected,them,0.3333333333333333
124,connected,to,0.2
133,connected,which,0.3333333333333333
125,connected,with,1.0
137,course,events,1.0
140,course,human,1.0
139,course,in,1.0
141,course,of,0.2
138,course,the,0.1111111111111111
148,decent,declare,1.0
154,decent,impel,1.0
151,decent,mankind,1.0
149,decent,of,0.2
155,decent,opinions,1.0
147,decent,requires,1.0
156,decent,respect,1.0
144,decent,separation,1.0
146,decent,should,1.0
150,decent,that,1.0
145,decent,the,0.1111111111111111
153,decent,them,0.3333333333333333
143,decent,they,1.0
142,decent,to,0.2
152,decent,which,0.3333333333333333
168,declare,impel,1.0
165,declare,mankind,1.0
163,declare,of,0.2
169,declare,opinions,1.0
162,declare,requires,1.0
170,declare,respect,1.0
159,declare,separation,1.0
161,declare,should,1.0
164,declare,that,1.0
160,declare,the,0.1111111111111111
167,declare,them,0.3333333333333333
158,declare,they,1.0
157,declare,to,0.2
166,declare,which,0.3333333333333333
175,dissolve,for,1.0
176,dissolve,have,1.0
173,dissolve,it,1.0
182,dissolve,necessary,1.0
177,dissolve,one,1.0
179,dissolve,people,1.0
174,dissolve,political,1.0
178,dissolve,the,0.1111111111111111
181,dissolve,them,0.3333333333333333
171,dissolve,to,0.2
180,dissolve,which,0.3333333333333333
172,dissolve,with,1.0
186,earth,of,0.2
184,earth,powers,1.0
185,earth,the,0.1111111111111111
183,earth,to,0.2
190,entitle,equal,1.0
197,entitle,laws,1.0
194,entitle,nature,0.5
192,entitle,of,0.2
195,entitle,s,1.0
188,entitle,separate,1.0
189,entitle,station,1.0
191,entitle,the,0.1111111111111111
196,entitle,them,0.3333333333333333
187,entitle,to,0.2
193,entitle,which,0.3333333333333333
207,equal,laws,1.0
204,equal,nature,0.5
202,equal,of,0.2
205,equal,s,1.0
199,equal,separate,1.0
200,equal,station,1.0
201,equal,the,0.1111111111111111
206,equal,them,0.3333333333333333
198,equal,to,0.2
203,equal,which,0.3333333333333333
210,events,human,1.0
209,events,in,1.0
211,events,of,0.2
208,events,the,0.1111111111111111
216,for,have,1.0
214,for,it,1.0
222,for,necessary,1.0
217,for,one,1.0
219,for,people,1.0
215,for,political,1.0
218,for,the,0.1111111111111111
221,for,them,0.3333333333333333
212,for,to,0.2
220,for,which,0.3333333333333333
213,for,with,1.0
225,have,it,1.0
232,have,necessary,1.0
227,have,one,1.0
229,have,people,1.0
226,have,political,1.0
228,have,the,0.1111111111111111
231,have,them,0.3333333333333333
223,have,to,0.2
230,have,which,0.3333333333333333
224,have,with,1.0
234,human,in,1.0
235,human,of,0.2
233,human,the,0.1111111111111111
244,impel,mankind,1.0
243,impel,of,0.2
247,impel,opinions,1.0
241,impel,requires,1.0
248,impel,respect,1.0
238,impel,separation,1.0
240,impel,should,1.0
242,impel,that,1.0
239,impel,the,0.1111111111111111
246,impel,them,0.3333333333333333
237,impel,they,1.0
236,impel,to,0.2
245,impel,which,0.3333333333333333
250,in,of,0.2
249,in,the,0.1111111111111111
259,it,necessary,1.0
254,it,one,1.0
256,it,people,1.0
253,it,political,1.0
255,it,the,0.1111111111111111
258,it,them,0.3333333333333333
251,it,to,0.2
257,it,which,0.3333333333333333
252,it,with,1.0
266,laws,nature,0.5
264,laws,of,0.2
267,laws,s,1.0
261,laws,separate,1.0
262,laws,station,1.0
263,laws,the,0.1111111111111111
268,laws,them,0.3333333333333333
260,laws,to,0.2
265,laws,which,0.3333333333333333
275,mankind,of,0.2
279,mankind,opinions,1.0
274,mankind,requires,1.0
280,mankind,respect,1.0
271,mankind,separation,1.0
273,mankind,should,1.0
276,mankind,that,1.0
272,mankind,the,0.1111111111111111
278,mankind,them,0.3333333333333333
270,mankind,they,1.0
269,mankind,to,0.2
277,mankind,which,0.3333333333333333
285,nature,of,0.1
287,nature,s,0.5
282,nature,separate,0.5
283,nature,station,0.5
284,nature,the,0.05555555555555555
288,nature,them,0.16666666666666666
281,nature,to,0.1
286,nature,which,0.16666666666666666
292,necessary,one,1.0
294,necessary,people,1.0
291,necessary,political,1.0
293,necessary,the,0.1111111111111111
296,necessary,them,0.3333333333333333
289,necessary,to,0.2
295,necessary,which,0.3333333333333333
290,necessary,with,1.0
310,of,opinions,0.2
299,of,powers,0.2
305,of,requires,0.2
311,of,respect,0.2
308,of,s,0.2
300,of,separate,0.2
302,of,separation,0.2
304,of,should,0.2
301,of,station,0.2
306,of,that,0.2
303,of,the,0.08888888888888889
309,of,them,0.13333333333333333
298,of,they,0.2
297,of,to,0.12
307,of,which,0.13333333333333333
316,one,people,1.0
314,one,political,1.0
315,one,the,0.1111111111111111
318,one,them,0.3333333333333333
312,one,to,0.2
317,one,which,0.3333333333333333
313,one,with,1.0
324,opinions,requires,1.0
328,opinions,respect,1.0
321,opinions,separation,1.0
323,opinions,should,1.0
325,opinions,that,1.0
322,opinions,the,0.1111111111111111
327,opinions,them,0.3333333333333333
320,opinions,they,1.0
319,opinions,to,0.2
326,opinions,which,0.3333333333333333
331,people,political,1.0
332,people,the,0.1111111111111111
334,people,them,0.3333333333333333
329,people,to,0.2
333,people,which,0.3333333333333333
330,people,with,1.0
337,political,the,0.1111111111111111
339,political,them,0.3333333333333333
335,political,to,0.2
338,political,which,0.3333333333333333
336,political,with,1.0
341,powers,the,0.1111111111111111
340,powers,to,0.2
350,requires,respect,1.0
344,requires,separation,1.0
346,requires,should,1.0
347,requires,that,1.0
345,requires,the,0.1111111111111111
349,requires,them,0.3333333333333333
343,requires,they,1.0
342,requires,to,0.2
348,requires,which,0.3333333333333333
353,respect,separation,1.0
355,respect,should,1.0
356,respect,that,1.0
354,respect,the,0.1111111111111111
358,respect,them,0.3333333333333333
352,respect,they,1.0
351,respect,to,0.2
357,respect,which,0.3333333333333333
360,s,separate,1.0
361,s,station,1.0
362,s,the,0.1111111111111111
364,s,them,0.3333333333333333
359,s,to,0.2
363,s,which,0.3333333333333333
366,separate,station,1.0
367,separate,the,0.1111111111111111
369,separate,them,0.3333333333333333
365,separate,to,0.2
368,separate,which,0.3333333333333333
373,separation,should,1.0
374,separation,that,1.0
372,separation,the,0.1111111111111111
376,separation,them,0.3333333333333333
371,separation,they,1.0
370,separation,to,0.2
375,separation,which,0.3333333333333333
380,should,that,1.0
379,should,the,0.1111111111111111
382,should,them,0.3333333333333333
378,should,they,1.0
377,should,to,0.2
381,should,which,0.3333333333333333
384,station,the,0.1111111111111111
386,station,them,0.3333333333333333
383,station,to,0.2
385,station,which,0.3333333333333333
389,that,the,0.1111111111111111
391,that,them,0.3333333333333333
388,that,they,1.0
387,that,to,0.2
390,that,which,0.3333333333333333
396,the,them,0.1111111111111111
393,the,they,0.1111111111111111
392,the,to,0.08888888888888889
395,the,which,0.1111111111111111
394,the,with,0.1111111111111111
398,them,they,0.3333333333333333
397,them,to,0.2
400,them,which,0.3333333333333333
399,them,with,0.3333333333333333
401,they,to,0.2
402,they,which,0.3333333333333333
404,to,which,0.2
403,to,with,0.2
405,which,with,0.3333333333333333
